id_mutation	id_disease
35406	1
35407	1
35412	1
35417	1
240222	1
35414	1
263989	1
263991	1
240198	1
240194	1
240230	1
35415	1
263996	1
263995	1
263990	1
263993	1
240242	1
240241	1
240240	1
240239	1
240238	1
240221	1
240212	1
240213	1
240214	1
240215	1
240216	1
240219	1
240220	1
240223	1
240225	1
240226	1
240227	1
240228	1
240233	1
240237	1
240210	1
240209	1
240208	1
240207	1
240199	1
240200	1
240201	1
240202	1
240203	1
240204	1
240205	1
240206	1
35410	1
240196	1
240235	1
240192	1
35411	1
35408	1
35409	1
263987	1
263986	1
263984	1
35406	2
249256	2
249239	2
47793	2
47758	2
47837	2
47826	2
249237	2
47961	2
9595	2
9606	2
48050	2
47991	2
47842	2
126917	2
126955	2
126922	2
249244	2
47754	2
47770	2
47818	2
249240	2
47814	2
47787	2
47824	2
9600	2
47752	2
47745	2
47757	2
9572	2
249255	2
9640	2
47743	2
47791	2
47788	2
47750	2
47751	2
47755	2
249281	2
47744	2
47746	2
47785	2
47765	2
249265	2
47781	2
47803	2
47773	2
47827	2
249242	2
47749	2
47766	2
47747	2
47789	2
47807	2
47810	2
47816	2
47812	2
47823	2
47986	2
47805	2
47910	2
47821	2
47985	2
47977	2
47975	2
47972	2
47948	2
47939	2
47804	2
47911	2
47909	2
47906	2
47882	2
47857	2
249283	2
47783	2
47784	2
47822	2
9587	2
47914	2
9620	2
249307	2
249286	2
47964	2
47965	2
47962	2
249300	2
249257	2
9593	2
254562	2
28702	2
9601	2
9607	2
9571	2
9576	2
9581	2
254554	2
9613	2
183343	2
183349	2
254559	2
254563	2
41608	2
9588	2
249243	2
9594	2
9602	2
249291	2
126956	2
9599	2
9573	2
249284	2
9662	2
9619	2
47903	2
47893	2
127012	2
41682	2
126998	2
19174	2
254564	2
47759	2
249270	2
249247	2
47774	2
47769	2
47886	2
47831	2
9624	2
47918	2
47871	2
9609	2
9608	2
47740	2
47873	2
9592	2
9591	2
9584	2
9582	2
9580	2
9574	2
47772	2
47840	2
47767	2
47768	2
249298	2
47854	2
47761	2
47901	2
249289	2
47760	2
47841	2
47834	2
47753	2
249278	2
249273	2
249250	2
47862	2
47838	2
47771	2
47872	2
249309	2
249275	2
9666	2
9664	2
9631	2
9656	2
9632	2
9665	2
9648	2
249274	2
9646	2
9647	2
9668	2
9663	2
9667	2
48019	2
9661	2
9641	2
9644	2
9657	2
48017	2
9643	2
9658	2
9642	2
9655	2
9669	2
9633	2
9659	2
9660	2
48018	2
9645	2
48020	2
9654	2
47944	2
249282	2
47957	2
48038	2
47956	2
249323	2
36243	2
249322	2
48037	2
48036	2
48035	2
249321	2
249320	2
48034	2
36242	2
249313	2
47955	2
47954	2
48039	2
48040	2
47945	2
48055	2
48043	2
48044	2
48045	2
48046	2
48047	2
249325	2
48041	2
249326	2
48048	2
48049	2
47779	2
48051	2
48052	2
48053	2
48054	2
47953	2
48033	2
48032	2
249312	2
47832	2
249301	2
9623	2
47946	2
249299	2
47959	2
249297	2
249296	2
249295	2
249294	2
48024	2
48023	2
48022	2
48021	2
47960	2
48025	2
249308	2
48026	2
48031	2
47952	2
48030	2
47951	2
47950	2
48029	2
249310	2
48028	2
48027	2
47958	2
249311	2
47949	2
47947	2
9630	2
47937	2
9621	2
48002	2
47899	2
47996	2
47900	2
47870	2
47869	2
47997	2
47998	2
47999	2
48000	2
48001	2
47868	2
47897	2
48003	2
47905	2
48004	2
48005	2
48006	2
5481	2
48007	2
48008	2
47907	2
9616	2
47898	2
47896	2
47921	2
47881	2
47990	2
47992	2
47874	2
47875	2
47993	2
47877	2
47878	2
47879	2
47880	2
47994	2
47883	2
47895	2
47884	2
47892	2
47995	2
47894	2
191	2
192	2
193	2
194	2
47920	2
47908	2
47922	2
48013	2
47933	2
48009	2
48012	2
47934	2
47935	2
47936	2
249327	2
249324	2
47938	2
47940	2
47941	2
47942	2
48014	2
48015	2
47943	2
48016	2
47932	2
47926	2
47923	2
47924	2
47861	2
48010	2
48011	2
47860	2
47858	2
47925	2
47859	2
48042	2
47927	2
47855	2
47928	2
47929	2
47931	2
47856	2
47930	2
126911	2
264257	2
183298	2
28713	2
126905	2
183303	2
183304	2
28746	2
260126	2
260125	2
126938	2
126908	2
126919	2
126916	2
126913	2
126912	2
126910	2
126909	2
183305	2
183320	2
183317	2
28726	2
254549	2
126914	2
19152	2
126915	2
126923	2
126970	2
