id_mutation	id_insource	id_source
1	553904	1
2	968278	1
3	196011	1
4	425169	1
5	598371	1
6	448645	1
7	591773	1
8	446479	1
9	209	1
10	214	1
11	328810	1
12	242	1
13	243	1
14	251	1
15	47890	1
16	47893	1
17	47896	1
18	47899	1
19	179783	1
20	201939	1
21	201940	1
22	201945	1
23	229055	1
24	423327	1
25	518850	1
26	363	1
27	364	1
28	141719	1
29	142920	1
30	187215	1
31	216864	1
32	404528	1
33	404465	1
34	422978	1
35	424381	1
36	426216	1
37	431605	1
38	457577	1
39	457828	1
40	484096	1
41	480208	1
42	481917	1
43	504112	1
44	522586	1
45	527466	1
46	527497	1
47	546244	1
48	547632	1
49	547644	1
50	560364	1
51	561874	1
52	569917	1
53	661709	1
54	652355	1
55	666067	1
56	648655	1
57	694507	1
58	823083	1
59	824654	1
60	863428	1
61	840667	1
62	857061	1
63	863727	1
64	846198	1
65	842941	1
66	956891	1
67	961224	1
68	841685	1
69	416	1
70	356040	1
71	855026	1
72	466	1
73	474	1
74	558366	1
75	595636	1
76	293620	1
77	806271	1
78	787321	1
79	241056	1
80	406182	1
81	549675	1
82	557294	1
83	553537	1
84	550561	1
85	553310	1
86	551562	1
87	556655	1
88	558631	1
89	557618	1
90	555270	1
91	555016	1
92	518338	1
93	41527	1
94	41531	1
95	141067	1
96	141574	1
97	141776	1
98	143006	1
99	181776	1
100	186999	1
101	217930	1
102	233688	1
103	229830	1
104	229988	1
105	233117	1
106	246181	1
107	246486	1
108	252532	1
109	371788	1
110	371929	1
111	371858	1
112	411359	1
113	411414	1
114	422540	1
115	418970	1
116	421065	1
117	419743	1
118	469771	1
119	470026	1
120	470069	1
121	470105	1
122	469941	1
123	469959	1
124	482318	1
125	482480	1
126	482242	1
127	482291	1
128	482486	1
129	485149	1
130	489455	1
131	537409	1
132	537461	1
133	572198	1
134	576456	1
135	569794	1
136	629175	1
137	629116	1
138	628507	1
139	630204	1
140	632637	1
141	663784	1
142	644149	1
143	647203	1
